date,covers,net_sales,outside
2017-01-02,173.0,13159.84,0
2017-01-03,178.0,12442.11,0
2017-01-04,172.0,12927.640000000001,0
2017-01-05,188.0,14457.789999999999,0
2017-01-06,192.0,15331.97,0
2017-01-07,200.0,16245.739999999998,0
2017-01-08,187.0,14428.09,0
2017-01-09,172.0,12604.6,0
2017-01-10,174.0,13227.15,0
2017-01-11,188.0,15294.74,0
2017-01-12,180.0,15518.550000000001,0
2017-01-13,204.0,14839.619999999999,0
2017-01-14,225.0,17289.53,0
2017-01-15,222.0,15491.24,0
2017-01-16,198.0,13852.720000000001,0
2017-01-17,135.0,11401.96,0
2017-01-18,178.0,13072.369999999999,0
2017-01-19,181.0,14309.929999999998,0
2017-01-20,203.0,16909.2,0
2017-01-21,239.0,17803.79,0
2017-01-22,167.0,11864.92,0
2017-01-23,154.0,13118.67,0
2017-01-24,172.0,15002.2,0
2017-01-25,195.0,15672.269999999999,0
2017-01-26,145.0,13775.48,0
2017-01-27,195.0,15530.009999999998,0
2017-01-28,216.0,17798.769999999997,0
2017-01-29,198.0,13957.47,0
2017-01-30,182.0,13181.96,0
2017-01-31,161.0,14639.51,0
2017-02-01,192.0,14123.7,0
2017-02-02,179.0,17747.129999999997,0
2017-02-03,196.0,17399.43,0
2017-02-04,216.0,17545.95,0
2017-02-05,0.0,0.0,0
2017-02-06,164.0,12541.529999999999,0
2017-02-07,172.0,14185.24,0
2017-02-08,183.0,14382.57,0
2017-02-09,186.0,13655.02,0
2017-02-10,166.0,15970.630000000001,0
2017-02-11,221.0,16634.659999999996,0
2017-02-12,193.0,14299.8,0
2017-02-13,192.0,14230.93,0
2017-02-14,186.0,14481.16,0
2017-02-15,193.0,15609.009999999998,0
2017-02-16,193.0,15115.679999999998,0
2017-02-17,198.0,16962.3,0
2017-02-18,211.0,15932.199999999997,0
2017-02-19,195.0,15567.31,0
2017-02-20,184.0,12690.5,0
2017-02-21,186.0,13379.98,0
2017-02-22,172.0,12914.119999999999,0
2017-02-23,185.0,13450.75,0
2017-02-24,211.0,14834.670000000002,0
2017-02-25,232.0,16599.519999999997,0
2017-02-26,198.0,14263.849999999999,0
2017-02-27,169.0,13716.86,0
2017-02-28,157.0,15136.09,0
2017-03-01,177.0,13773.48,0
2017-03-02,179.0,15066.19,0
2017-03-03,188.0,14819.789999999999,0
2017-03-04,236.0,18980.779999999995,0
2017-03-05,215.0,14517.5,0
2017-03-06,165.0,13041.74,0
2017-03-07,168.0,13784.06,0
2017-03-08,187.0,14269.45,0
2017-03-09,188.0,14775.67,0
2017-03-10,192.0,15135.91,0
2017-03-11,210.0,18060.54,0
2017-03-12,193.0,14304.029999999999,0
2017-03-13,177.0,13130.57,0
2017-03-14,0.0,0.0,0
2017-03-15,174.0,13946.539999999997,0
2017-03-16,185.0,14506.04,0
2017-03-17,212.0,18270.45,0
2017-03-18,221.0,17417.11,0
2017-03-19,200.0,15175.57,0
2017-03-20,189.0,13641.76,0
2017-03-21,177.0,13990.11,0
2017-03-22,182.0,13219.240000000002,0
2017-03-23,166.0,12274.55,0
2017-03-24,193.0,14918.99,0
2017-03-25,230.0,17790.2,0
2017-03-26,212.0,15494.25,0
2017-03-27,175.0,14012.569999999998,0
2017-03-28,183.0,13764.82,0
2017-03-29,189.0,13511.06,0
2017-03-30,180.0,14750.529999999999,0
2017-03-31,192.0,14993.56,0
2017-04-01,230.0,18240.05,0
2017-04-02,201.0,13855.399999999998,0
2017-04-03,187.0,14837.15,0
2017-04-04,181.0,13197.14,0
2017-04-05,176.0,12760.130000000001,1
2017-04-06,183.0,13259.94,0
2017-04-07,201.0,15871.630000000001,0
2017-04-08,231.0,17201.92,0
2017-04-09,207.0,13944.970000000001,0
2017-04-10,252.0,17458.15,1
2017-04-11,250.0,15865.8,1
2017-04-12,268.0,19837.869999999995,1
2017-04-13,257.0,19452.21,1
2017-04-14,272.0,20412.7,1
2017-04-15,289.0,21810.179999999997,1
2017-04-16,296.0,18083.989999999998,1
2017-04-17,218.0,15066.58,1
2017-04-18,183.0,13495.61,1
2017-04-19,174.0,12213.749999999998,0
2017-04-20,210.0,15218.24,1
2017-04-21,199.0,16031.95,1
2017-04-22,225.0,17513.949999999997,0
2017-04-23,250.0,17484.27,1
2017-04-24,191.0,14321.380000000001,0
2017-04-25,170.0,15762.3,0
2017-04-26,159.0,14203.22,1
2017-04-27,223.0,15568.95,1
2017-04-28,293.0,22179.55,1
2017-04-29,308.0,24920.469999999994,1
2017-04-30,204.0,14023.199999999999,1
2017-05-01,213.0,15385.119999999999,1
2017-05-02,266.0,19039.12,1
2017-05-03,218.0,15689.27,1
2017-05-04,199.0,14832.34,1
2017-05-05,202.0,15769.130000000001,0
2017-05-06,263.0,19004.37,1
2017-05-07,201.0,14938.69,0
2017-05-08,206.0,14801.45,1
2017-05-09,182.0,14619.84,1
2017-05-10,223.0,16527.61,1
2017-05-11,224.0,18698.78,1
2017-05-12,251.0,18947.369999999995,1
2017-05-13,217.0,16634.989999999998,0
2017-05-14,264.0,17818.57,1
2017-05-15,231.0,19517.05,1
2017-05-16,287.0,20262.87,1
2017-05-17,257.0,18129.5,1
2017-05-18,270.0,19878.199999999993,1
2017-05-19,289.0,20266.91,1
2017-05-20,321.0,23498.469999999998,1
2017-05-21,275.0,18246.0,1
2017-05-22,188.0,14307.2,0
2017-05-23,237.0,17736.03,1
2017-05-24,256.0,17580.3,1
2017-05-25,177.0,15073.34,0
2017-05-26,287.0,21686.48,1
2017-05-27,304.0,21370.049999999996,1
2017-05-28,306.0,21784.689999999995,1
2017-05-29,206.0,14086.2,1
2017-05-30,192.0,13965.619999999999,1
2017-05-31,251.0,18832.979999999996,1
2017-06-01,255.0,17440.9,1
2017-06-02,309.0,23012.79,1
2017-06-03,323.0,24031.629999999997,1
2017-06-04,210.0,14567.5,0
2017-06-05,197.0,14018.039999999999,1
2017-06-06,180.0,15728.74,0
2017-06-07,256.0,19752.969999999998,1
2017-06-08,188.0,17338.07,1
2017-06-09,292.0,22601.02,1
2017-06-10,312.0,22954.239999999994,1
2017-06-11,284.0,18198.21,1
2017-06-12,257.0,17578.510000000002,1
2017-06-13,237.0,16006.31,1
2017-06-14,248.0,18580.989999999998,1
2017-06-15,272.0,20507.23,1
2017-06-16,277.0,20774.78,1
2017-06-17,289.0,21806.100000000002,1
2017-06-18,282.0,18156.879999999997,1
2017-06-19,172.0,13991.77,0
2017-06-20,269.0,18875.86,1
2017-06-21,274.0,19154.239999999998,1
2017-06-22,269.0,20021.36,1
2017-06-23,207.0,16353.36,0
2017-06-24,314.0,23524.389999999996,1
2017-06-25,286.0,18404.04,1
2017-06-26,251.0,17895.879999999997,1
2017-06-27,246.0,17814.799999999996,1
2017-06-28,254.0,21108.379999999994,1
2017-06-29,261.0,18345.129999999997,1
2017-06-30,277.0,20441.16,1
2017-07-01,302.0,21305.690000000002,1
2017-07-02,344.0,22313.93,1
2017-07-03,301.0,21828.739999999998,1
2017-07-04,280.0,17863.649999999998,1
2017-07-05,247.0,17305.17,1
2017-07-06,245.0,16685.379999999997,1
2017-07-07,258.0,18709.34,1
2017-07-08,319.0,23457.749999999996,1
2017-07-09,284.0,19853.999999999996,1
2017-07-10,253.0,16903.47,1
2017-07-11,243.0,17150.61,1
2017-07-12,211.0,15346.970000000001,1
2017-07-13,182.0,13686.990000000002,0
2017-07-14,197.0,15037.84,0
2017-07-15,296.0,22466.169999999995,1
2017-07-16,303.0,19423.809999999998,1
2017-07-17,254.0,16964.379999999997,1
2017-07-18,245.0,18465.34,1
2017-07-19,245.0,17635.23,1
2017-07-20,204.0,16617.98,1
2017-07-21,308.0,20971.17,1
2017-07-22,244.0,19257.54,1
2017-07-23,294.0,22029.199999999997,1
2017-07-24,188.0,14590.44,1
2017-07-25,236.0,18330.760000000002,1
2017-07-26,254.0,19567.17,1
2017-07-27,257.0,18607.399999999998,1
2017-07-28,291.0,20365.739999999998,1
2017-07-29,346.0,22751.109999999997,1
2017-07-30,310.0,20959.239999999998,1
2017-07-31,258.0,17848.37,1
2017-08-01,239.0,15615.86,1
2017-08-02,204.0,16260.86,1
2017-08-03,257.0,19525.26,1
2017-08-04,310.0,21803.73,1
2017-08-05,341.0,23863.219999999998,1
2017-08-06,307.0,20567.84,1
2017-08-07,183.0,14308.249999999998,0
2017-08-08,249.0,17467.489999999998,1
2017-08-09,282.0,19425.2,1
2017-08-10,278.0,20483.49,1
2017-08-11,274.0,20652.63,1
2017-08-12,285.0,21577.2,1
2017-08-13,318.0,21017.46,1
2017-08-14,253.0,17737.09,1
2017-08-15,229.0,16214.970000000001,1
2017-08-16,254.0,18502.89,1
2017-08-17,265.0,18114.11,1
2017-08-18,213.0,17402.829999999998,1
2017-08-19,327.0,22582.440000000002,1
2017-08-20,273.0,17123.57,1
2017-08-21,259.0,17029.72,1
2017-08-22,243.0,16495.79,1
2017-08-23,276.0,18835.74,1
2017-08-24,257.0,18486.739999999998,1
2017-08-25,287.0,20544.34,1
2017-08-26,318.0,20256.749999999996,1
2017-08-27,298.0,20214.07,1
2017-08-28,265.0,19499.14,1
2017-08-29,180.0,13213.19,0
2017-08-30,263.0,19277.14,1
2017-08-31,269.0,18963.38,1
2017-09-01,304.0,20902.559999999998,1
2017-09-02,219.0,16146.439999999999,0
2017-09-03,317.0,22341.210000000003,1
2017-09-04,281.0,19093.88,1
2017-09-05,233.0,15330.970000000001,1
2017-09-06,183.0,19011.01,0
2017-09-07,259.0,17132.96,1
2017-09-08,286.0,20744.690000000002,1
2017-09-09,295.0,25170.04,1
2017-09-10,295.0,19838.989999999998,1
2017-09-11,230.0,16490.239999999998,1
2017-09-12,236.0,19295.39,1
2017-09-13,236.0,17701.940000000002,1
2017-09-14,259.0,18848.97,1
2017-09-15,300.0,23891.76,1
2017-09-16,293.0,22523.969999999998,1
2017-09-17,280.0,18574.449999999997,1
2017-09-18,238.0,16130.44,1
2017-09-19,180.0,13213.17,0
2017-09-20,238.0,17877.5,1
2017-09-21,248.0,17543.5,1
2017-09-22,294.0,23849.969999999998,1
2017-09-23,298.0,22869.189999999995,1
2017-09-24,275.0,21105.069999999996,1
2017-09-25,229.0,16621.97,1
2017-09-26,215.0,15022.89,1
2017-09-27,224.0,17679.96,1
2017-09-28,245.0,17033.1,1
2017-09-29,293.0,21847.499999999996,1
2017-09-30,277.0,21402.44,1
2017-10-01,274.0,18929.989999999998,1
2017-10-02,227.0,15204.55,1
2017-10-03,248.0,17482.16,1
2017-10-04,244.0,16700.510000000002,1
2017-10-05,240.0,19832.609999999997,1
2017-10-06,293.0,22079.16,1
2017-10-07,303.0,20941.32,1
2017-10-08,271.0,19543.23,1
2017-10-09,177.0,11963.9,0
2017-10-10,235.0,20857.96,1
2017-10-11,182.0,16262.21,0
2017-10-12,197.0,17214.37,1
2017-10-13,297.0,21080.36,1
2017-10-14,295.0,22069.9,1
2017-10-15,251.0,18960.729999999996,1
2017-10-16,182.0,14182.99,0
2017-10-17,169.0,12756.3,0
2017-10-18,232.0,17304.629999999997,1
2017-10-19,237.0,18461.05,1
2017-10-20,258.0,20765.46,1
2017-10-21,310.0,23795.719999999994,1
2017-10-22,245.0,19438.079999999998,1
2017-10-23,243.0,19151.8,1
2017-10-24,186.0,13815.609999999999,0
2017-10-25,231.0,16844.68,1
2017-10-26,185.0,18560.79,0
2017-10-27,238.0,18891.58,1
2017-10-28,285.0,23659.6,1
2017-10-29,188.0,14239.55,0
2017-10-30,165.0,13725.509999999998,0
2017-10-31,185.0,13040.32,0
2017-11-01,179.0,17678.12,0
2017-11-02,225.0,16444.199999999997,1
2017-11-03,270.0,21471.5,1
2017-11-04,215.0,17404.57,0
2017-11-05,197.0,15577.17,0
2017-11-06,179.0,14282.800000000001,0
2017-11-07,163.0,12763.13,0
2017-11-08,185.0,15251.01,0
2017-11-09,182.0,16385.379999999997,0
2017-11-10,195.0,17368.440000000002,0
2017-11-11,186.0,15800.3,0
2017-11-12,195.0,14902.359999999999,0
2017-11-13,166.0,12977.0,0
2017-11-14,161.0,13953.13,0
2017-11-15,186.0,15811.91,0
2017-11-16,180.0,16681.98,0
2017-11-17,179.0,16040.229999999998,0
2017-11-18,211.0,19629.019999999997,0
2017-11-19,208.0,15032.039999999999,0
2017-11-20,175.0,14128.5,0
2017-11-21,187.0,15569.8,0
2017-11-22,188.0,16224.55,0
2017-11-23,0.0,0.0,0
2017-11-24,187.0,13427.240000000002,0
2017-11-25,206.0,14833.24,0
2017-11-26,188.0,13432.36,0
2017-11-27,175.0,12881.51,0
2017-11-28,136.0,14999.48,0
2017-11-29,172.0,15724.67,0
2017-11-30,171.0,12896.5,0
2017-12-01,173.0,15511.27,0
2017-12-02,222.0,18556.109999999997,0
2017-12-03,202.0,15865.48,0
2017-12-04,175.0,19433.48,0
2017-12-05,155.0,14639.21,0
2017-12-06,178.0,14597.31,0
2017-12-07,169.0,20422.05,0
2017-12-08,201.0,17726.059999999998,0
2017-12-09,209.0,15744.279999999999,0
2017-12-10,190.0,14365.0,0
2017-12-11,168.0,12052.75,0
2017-12-12,161.0,14517.97,0
2017-12-13,173.0,15496.48,0
2017-12-14,179.0,14323.890000000001,0
2017-12-15,197.0,17763.8,0
2017-12-16,202.0,15935.17,0
2017-12-17,213.0,16267.0,0
2017-12-18,170.0,14395.6,0
2017-12-19,193.0,16609.84,0
2017-12-20,171.0,17182.139999999996,0
2017-12-21,195.0,17355.11,0
2017-12-22,156.0,18221.14,0
2017-12-23,206.0,15586.86,0
2017-12-24,0.0,0.0,0
2017-12-25,0.0,0.0,0
2017-12-26,185.0,14696.17,0
2017-12-27,192.0,13799.65,0
2017-12-28,201.0,16099.48,0
2017-12-29,208.0,15889.64,0
2017-12-30,203.0,14915.91,0
2017-12-31,201.0,16199.589999999998,0
2018-01-01,0.0,381.0,0
2018-01-02,163.0,11591.75,0
2018-01-03,156.0,12052.11,0
2018-01-04,172.0,12296.98,0
2018-01-05,182.0,15831.14,0
2018-01-06,203.0,17706.94,0
2018-01-07,174.0,12013.589999999998,0
2018-01-08,156.0,10950.130000000001,0
2018-01-09,183.0,13713.210000000001,0
2018-01-10,178.0,13153.220000000001,0
2018-01-11,171.0,13591.3,0
2018-01-12,195.0,15769.51,0
2018-01-13,205.0,15649.11,0
2018-01-14,193.0,14887.05,0
2018-01-15,181.0,14474.18,0
2018-01-16,174.0,12975.52,0
2018-01-17,181.0,13090.01,0
2018-01-18,152.0,12896.48,0
2018-01-19,179.0,14100.47,0
2018-01-20,197.0,16153.189999999999,0
2018-01-21,188.0,13986.0,0
2018-01-22,179.0,13145.0,0
2018-01-23,175.0,13383.92,0
2018-01-24,187.0,14668.75,0
2018-01-25,180.0,14697.44,0
2018-01-26,193.0,15793.57,0
2018-01-27,208.0,18097.83,0
2018-01-28,217.0,15762.859999999999,0
2018-01-29,179.0,13543.61,0
2018-01-30,159.0,12223.45,0
2018-01-31,175.0,14233.5,0
2018-02-01,168.0,15137.0,0
2018-02-02,167.0,16261.74,0
2018-02-03,206.0,17275.07,0
2018-02-04,0.0,0.0,0
2018-02-05,167.0,13081.65,0
2018-02-06,155.0,12446.82,0
2018-02-07,141.0,11371.75,0
2018-02-08,173.0,16081.5,0
2018-02-09,204.0,18509.32,0
2018-02-10,199.0,16519.23,0
2018-02-11,198.0,15937.24,0
2018-02-12,195.0,16637.839999999997,0
2018-02-13,176.0,13032.24,0
2018-02-14,185.0,15317.94,0
2018-02-15,192.0,14609.26,0
2018-02-16,191.0,15764.829999999998,0
2018-02-17,199.0,15503.48,0
2018-02-18,223.0,17442.629999999997,0
2018-02-19,179.0,13704.0,0
2018-02-20,160.0,12742.07,0
2018-02-21,181.0,13869.01,0
2018-02-22,173.0,15877.63,0
2018-02-23,178.0,13772.15,0
2018-02-24,206.0,21976.760000000002,0
2018-02-25,193.0,13971.81,0
2018-02-26,166.0,17876.87,0
2018-02-27,170.0,14237.64,0
2018-02-28,162.0,12150.939999999999,0
2018-03-01,176.0,13980.8,0
2018-03-02,182.0,15440.15,0
2018-03-03,212.0,18356.160000000003,0
2018-03-04,187.0,14259.57,0
2018-03-05,169.0,13305.0,0
2018-03-06,160.0,12088.94,0
2018-03-07,162.0,13685.18,0
2018-03-08,163.0,14277.66,0
2018-03-09,187.0,18137.11,0
