date,sales,dinner_covers,outside
2018-03-15,13203.02,187,0
2018-03-16,15502.470000000001,195,0
2018-03-17,17215.66,212,0
2018-03-18,14037.34,189,0
2018-03-19,12737.97,195,0
2018-03-20,12845.019999999999,175,0
2018-03-21,13036.93,170,0
2018-03-22,14031.820000000002,174,0
2018-03-23,16048.579999999998,205,0
2018-03-24,17664.66,233,0
2018-03-25,14533.32,200,0
2018-03-26,11714.67,172,0
2018-03-27,13754,171,0
2018-03-28,13569.489999999998,154,0
2018-03-29,14332.87,197,0
2018-03-30,14656.24,175,0
2018-03-31,15249.67,208,0
2018-04-01,15046.220000000001,227,1
2018-04-02,12480.719999999998,174,0
2018-04-03,13825.48,174,0
2018-04-04,13318.67,178,0
2018-04-05,12431.529999999999,181,0
2018-04-06,18609.07,267,1
2018-04-07,19217.6,253,1
2018-04-08,16561,218,0
2018-04-09,12958,180,0
2018-04-10,14129.439999999999,180,0
2018-04-11,17145.749999999996,197,1
2018-04-12,14746.57,208,1
2018-04-13,22190.31,288,1
2018-04-14,19007.769999999997,276,1
2018-04-15,15019.119999999999,187,0
2018-04-16,18479.829999999998,180,1
2018-04-17,11657.1,182,0
2018-04-18,16056.619999999999,193,1
2018-04-19,14609.5,168,0
2018-04-20,15356.5,203,1
2018-04-21,24282.07,295,1
2018-04-22,18758.61999999999,230,1
2018-04-23,13654.19,193,1
2018-04-24,12074.46,172,1
2018-04-25,14522.480000000001,177,0
2018-04-26,20257.34,269,1
2018-04-27,15075.84,200,0
2018-04-28,21188.16,269,1
2018-04-29,15004.260000000002,238,1
2018-04-30,15611.31,199,0
2018-05-01,17634.510000000002,235,1
2018-05-02,20521.940000000002,260,1
2018-05-03,16680.77,265,1
2018-05-04,21425.899999999998,281,1
2018-05-05,20346.1,317,1
2018-05-06,15222.5,233,1
2018-05-07,17844.809999999998,249,1
2018-05-08,16382.43,251,1
2018-05-09,16113.94,219,1
2018-05-10,15654.999999999996,229,1
2018-05-11,22731.73,286,1
2018-05-12,15829.940000000002,201,0
2018-05-13,13837.93,194,0
2018-05-14,18929.08,259,1
2018-05-15,13352.73,164,0
2018-05-16,18828.09,188,0
2018-05-17,21529,256,1
2018-05-18,22387.87,264,1
2018-05-19,16571.239999999998,239,0
2018-05-20,20117.6,304,1
2018-05-21,19246,288,1
2018-05-22,16704.53,192,0
2018-05-23,17960.140000000003,259,1
2018-05-24,19722.75,261,1
2018-05-25,21675.5,298,1
2018-05-26,19234.18,280,1
2018-05-27,19327.079999999998,242,1
2018-05-28,17146.93,251,1
2018-05-29,17720.8,263,1
2018-05-30,14912.059999999998,229,1
2018-05-31,13780.36,171,0
2018-06-01,19551.050000000003,277,1
2018-06-02,18325.91,265,1
2018-06-03,16504.33,257,1
2018-06-04,16769.17,240,1
2018-06-05,18304.52,254,1
2018-06-06,15805.22,233,1
2018-06-07,17601.44,248,1
2018-06-08,21328.43,269,1
2018-06-09,21367.95,299,1
2018-06-10,14906.83,211,0
2018-06-11,16658.189999999995,244,1
2018-06-12,18536.7,251,1
2018-06-13,19010.179999999997,259,1
2018-06-14,17594.98,285,1
2018-06-15,20647.760000000002,253,1
2018-06-16,21734.46,278,1
2018-06-17,18795.019999999997,276,1
2018-06-18,16538.61,236,1
2018-06-19,19166.09,254,1
2018-06-20,17807.35,253,1
2018-06-21,20304.760000000002,240,1
2018-06-22,23974.739999999998,269,1
2018-06-23,19985.83,269,1
2018-06-24,17888.939999999995,267,1
2018-06-25,18901.460000000003,271,1
2018-06-26,15597.729999999996,251,1
2018-06-27,14888.949999999999,203,1
2018-06-28,18333.31,234,1
2018-06-29,15604.349999999999,269,1
2018-06-30,21152.629999999997,279,1
2018-07-01,19225.530000000002,296,1
2018-07-02,19459.069999999996,275,1
2018-07-03,17903.760000000002,237,1
2018-07-04,16164.129999999994,266,1
2018-07-05,17454.53,266,1
2018-07-06,17613.89,258,1
2018-07-07,20520.03,282,1
2018-07-08,19462.42,293,1
2018-07-09,19864.909999999996,272,1
2018-07-10,17876,239,1
2018-07-11,19468.219999999994,268,1
2018-07-12,18166.52,261,1
2018-07-13,18490.839999999997,251,1
2018-07-14,21812.869999999995,309,1
2018-07-15,19200.45,260,1
2018-07-16,17532.43,245,1
2018-07-17,13153.74,169,1
2018-07-18,18495.94,259,1
2018-07-19,19486.219999999998,243,1
2018-07-20,19032.370000000003,267,1
2018-07-21,18751.66,228,1
2018-07-22,14391.490000000002,197,1
2018-07-23,16179.2,234,1
2018-07-24,18471.5,254,1
2018-07-25,12408.51,190,0
2018-07-26,19237.19,254,1
2018-07-27,12672.27,177,0
2018-07-28,23515.34,300,1
2018-07-29,17437,260,1
2018-07-30,14636.919999999998,222,1
2018-07-31,17754.35,224,1
2018-08-01,16807.44,241,1
2018-08-02,18001.46,248,1
2018-08-03,18817.989999999998,271,1
2018-08-04,19036.8,275,1
2018-08-05,16912.96,283,1
2018-08-06,15930.68,242,1
2018-08-07,14436,162,1
2018-08-08,18439.75,234,1
2018-08-09,18732.41,248,1
2018-08-10,19621.11,274,1
2018-08-11,18665.55,217,1
2018-08-12,16544.5,259,1
2018-08-13,15843.99,220,1
2018-08-14,14021,176,1
2018-08-15,18027.25,242,1
2018-08-16,17058.75,250,1
2018-08-17,18602.79,219,1
2018-08-18,16693.42,221,1
2018-08-19,16915.760000000002,248,1
2018-08-20,17508.99,218,1
2018-08-21,16520,228,1
2018-08-22,18468.65,242,1
2018-08-23,18457.359999999997,281,1
2018-08-24,20671.670000000002,283,1
2018-08-25,21394.140000000003,287,1
2018-08-26,17948.489999999998,289,1
2018-08-27,15743.67,248,1
2018-08-28,16426.75,246,1
2018-08-29,16096.66,249,1
2018-08-30,18462.609999999997,273,1
2018-08-31,18168.68,250,1
2018-09-01,20437.75,266,1
2018-09-02,18696.14,267,1
2018-09-03,16762.980000000003,237,1
2018-09-04,16015.25,244,1
2018-09-05,15439.42,212,1
2018-09-06,18117.15,205,1
2018-09-07,18680,254,1
2018-09-08,15178.5,241,0
2018-09-09,14679.25,197,0
2018-09-10,12763.67,185,0
2018-09-11,15832.75,191,1
2018-09-12,13564.72,179,0
2018-09-13,17284.8,234,1
2018-09-14,19072.089999999997,246,1
2018-09-15,19974,270,1
2018-09-16,17065.79,278,1
2018-09-17,14932.88,212,1
2018-09-18,18315.5,243,1
2018-09-19,16643.539999999997,235,1
2018-09-20,15009.699999999999,220,1
2018-09-21,21252,284,1
2018-09-22,20649.25,285,1
2018-09-23,15416.27,233,1
2018-09-24,19496.46,233,1
2018-09-25,13328.380000000001,164,0
2018-09-26,15864.5,191,1
2018-09-27,15575.25,212,1
2018-09-28,19322.929999999997,262,1
2018-09-29,20224.75,280,1
2018-09-30,18367.010000000002,270,1
2018-10-01,47821.75,217,1
2018-10-02,16216.34,209,1
2018-10-03,26000.01,1,1
2018-10-04,4508.59,2,1
2018-10-05,19032.6,240,1
2018-10-06,20786.379999999997,277,1
2018-10-07,19098.41,258,1
2018-10-08,15722.99,188,1
2018-10-09,15684.59,231,1
2018-10-10,18442.77,251,1
2018-10-11,15418.14,177,0
2018-10-12,19191.42,247,1
2018-10-13,20660.75,265,1
2018-10-14,18563.63,262,1
2018-10-15,14750.25,198,1
2018-10-16,15190.07,170,1
2018-10-17,13724.67,162,1
2018-10-18,14878,181,0
2018-10-19,16887.5,228,1
2018-10-20,14547.039999999997,226,1
2018-10-21,14927,178,0
2018-10-22,13160.74,196,0
2018-10-23,14008.51,183,1
2018-10-24,15935,183,0
2018-10-25,14465.01,171,0
2018-10-26,14558,196,0
2018-10-27,16526.96,191,0
2018-10-28,14556.23,196,1
2018-10-29,14752.499999999998,186,0
2018-10-30,13185.25,162,0
2018-10-31,15653.8,215,1
2018-11-01,16452.25,206,1
2018-11-02,17802.78,223,1
2018-11-03,20010.5,232,1
2018-11-04,17146.5,209,1
2018-11-05,14828.91,161,0
2018-11-06,12192.5,159,0
2018-11-07,16467.5,156,1
2018-11-08,13734.5,179,0
2018-11-09,14426.65,181,0
2018-11-10,15439.52,203,0
2018-11-11,13939.95,199,0
2018-11-12,11892,153,0
2018-11-13,13397.5,165,0
2018-11-14,13446,171,0
2018-11-15,13457,146,0
2018-11-16,15187.25,188,0
2018-11-17,17525.25,195,0
2018-11-18,14531,180,0
2018-11-19,13200.24,174,0
2018-11-20,14088.25,194,0
2018-11-21,14029.99,174,0
2018-11-22,0,0,0
2018-11-23,14565.5,199,0
2018-11-24,15461.75,198,0
2018-11-25,11946.5,193,0
2018-11-26,12201.5,164,0
2018-11-27,13653,163,0
2018-11-28,14088.95,171,0
2018-11-29,14179.59,183,0
2018-11-30,14363.37,187,0
2018-12-01,15720.91,203,0
2018-12-02,13512.75,196,0
2018-12-03,11313.5,167,0
2018-12-04,12529.75,162,0
2018-12-05,11761.25,172,0
2018-12-06,15825.84,178,0
2018-12-07,16930.08,202,0
2018-12-08,15826.49,206,0
2018-12-09,14290.71,186,0
2018-12-10,14184.25,176,0
2018-12-11,18929.5,170,0
2018-12-12,13305.57,159,0
2018-12-13,18817.5,164,0
2018-12-14,16720.16,183,0
2018-12-15,16371.82,202,0
2018-12-16,13708.5,170,0
2018-12-17,14433,173,0
2018-12-18,15217.589999999997,169,0
2018-12-19,15203.41,194,0
2018-12-20,13216,159,0
2018-12-21,12837.89,180,0
2018-12-22,16637.989999999998,204,0
2018-12-23,14078.369999999999,189,0
2018-12-24,0,0,0
2018-12-25,0,0,0
2018-12-26,13206.699999999999,176,0
2018-12-27,15357.029999999999,201,0
2018-12-28,15497.37,211,0
2018-12-29,16236.11,207,0
2018-12-30,15208,209,0
2018-12-31,15099,177,0
2019-01-01,0,0,0
2019-01-02,12685.24,191,0
2019-01-03,13580.96,184,0
2019-01-04,16002.75,199,0
2019-01-05,16463.62,232,0
2019-01-06,12405.14,182,0
2019-01-07,14222.669999999998,178,0
2019-01-08,10811.32,167,0
2019-01-09,12985.09,173,0
2019-01-10,13196.76,151,0
2019-01-11,14699.25,187,0
2019-01-12,17112.96,214,0
2019-01-13,14285,189,0
2019-01-14,14422.25,189,0
2019-01-15,13893.17,190,0
2019-01-16,12378.42,178,0
2019-01-17,13888.74,183,0
2019-01-18,15526.619999999999,192,0
2019-01-19,15916.88,212,0
2019-01-20,16673,212,0
2019-01-21,11967.25,171,0
2019-01-22,13409.07,187,0
2019-01-23,13602,182,0
2019-01-24,13681.91,194,0
2019-01-25,17980.69,202,0
2019-01-26,41000,75,0
2019-01-27,13926,179,0
2019-01-28,15725.4,190,0
2019-01-29,13610.53,158,0
2019-01-30,14601.53,174,0
2019-01-31,15421.91,186,0
2019-02-01,16049.24,195,0
2019-02-02,18353.309999999998,229,0
2019-02-03,0,0,0
2019-02-04,11976.75,169,0
2019-02-05,14941.96,183,0
2019-02-06,14392.54,191,0
2019-02-07,14755.85,188,0
2019-02-08,14796.74,186,0
2019-02-09,18597.28,216,0
2019-02-10,14265.28,211,0
2019-02-11,13817.81,183,0
2019-02-12,13575.01,160,0
2019-02-13,15300.51,175,0
2019-02-14,15169.45,184,0
2019-02-15,16749.409999999996,219,0
2019-02-16,16851.88,233,0
2019-02-17,16455.36,230,0
2019-02-18,15747.65,188,0
2019-02-19,13941.2,178,0
2019-02-20,15769,157,0
2019-02-21,14799.51,190,0
2019-02-22,17253.5,210,0
2019-02-23,17842.149999999998,229,0
2019-02-24,13862.720000000001,197,0
2019-02-25,13771.25,162,0
2019-02-26,13913.67,178,0
2019-02-27,27909.75,179,0
2019-02-28,14560.02,169,0
2019-03-01,14837.11,194,0
2019-03-02,19093.57,198,0
2019-03-03,13957.5,188,0
2019-03-04,13369.25,188,0
2019-03-05,13599.769999999999,175,0
2019-03-06,11925.17,153,0
2019-03-07,15261.42,204,0
2019-03-08,17086.85,212,0
2019-03-09,19019.559999999983,269,0
2019-03-10,15061.3,206,0
2019-03-11,14179.58,191,0
2019-03-12,14019.5,191,0
2019-03-13,16744.55,183,0
2019-03-14,14913.400000000001,180,0
2019-03-15,15491.38,197,0
2019-03-16,16980.42,211,0
2019-03-17,14554.25,189,0
2019-03-18,14174.46,186,0
2019-03-19,13480.41,188,0
2019-03-20,12259.69,167,0
2019-03-21,13971.17,176,0
2019-03-22,15905.089999999998,216,0
2019-03-23,17432.25,215,0
2019-03-24,14232.999999999996,220,0
2019-03-25,14034.25,188,0
2019-03-26,14285.5,185,0
2019-03-27,15776.1,172,0
2019-03-28,13559.5,188,0
2019-03-29,16291.09,204,0
2019-03-30,17937.190000000002,243,0
2019-03-31,14248.72,220,0
2019-04-01,12858.5,167,0
2019-04-02,13983,173,0
2019-04-03,15275.979999999998,183,1
2019-04-04,14172.839999999998,190,0
2019-04-05,17164.91,210,0
2019-04-06,19636.7,253,0
2019-04-07,15262.66,206,0
2019-04-08,13748.75,185,0
2019-04-09,15610.75,184,0
2019-04-10,16141.53,213,1
2019-04-11,15233.42,193,1
2019-04-12,15499.539999999999,195,0
2019-04-13,22044.699999999993,309,1
2019-04-14,19197.139999999996,273,1
2019-04-15,15071.21,207,0
2019-04-16,16704.25,231,1
2019-04-17,15640.199999999999,210,1
2019-04-18,18789.73,223,1
2019-04-19,18099.510000000002,256,1
2019-04-20,19922.12,285,1
2019-04-21,17947.379999999997,262,1
2019-04-22,14521,199,0
2019-04-23,15124.710000000001,226,1
2019-04-24,18315.590000000004,263,1
2019-04-25,15795,194,0
2019-04-26,15665.17,190,0
2019-04-27,20572.2,233,1
2019-04-28,13385.27,187,1
2019-04-29,13533.34,194,1
2019-04-30,15476.48,160,1
2019-05-01,13112.839999999998,174,0
2019-05-02,18046.260000000002,208,1
2019-05-03,17950.989999999994,236,1
2019-05-04,21879.9,304,1
2019-05-05,14566.4,206,0
2019-05-06,15982,210,1
2019-05-07,16030.75,219,1
2019-05-08,13849.69,193,1
2019-05-09,16304.599999999999,203,1
2019-05-10,24313.540000000005,301,1
2019-05-11,20713.68,257,1
2019-05-12,12262.59,180,0
2019-05-13,13163,179,0
2019-05-14,14125.75,170,0
2019-05-15,17601.21,238,1
2019-05-16,18423.489999999998,247,1
2019-05-17,21350.489999999998,245,1
2019-05-18,24635.399999999994,314,1
2019-05-19,17560.63,270,1
2019-05-20,17033.5,257,1
2019-05-21,20307.91,228,1
2019-05-22,17455.46,251,1
2019-05-23,16084.5,213,1
2019-05-24,21672.139999999996,300,1
2019-05-25,30080,42,0
2019-05-26,20863.739999999998,281,1
2019-05-27,19083.489999999983,309,1
2019-05-28,13647.99,181,1
2019-05-29,13669.769999999999,184,0
2019-05-30,14610.13,180,0
2019-05-31,22367.260000000002,307,1
2019-06-01,23309.000000000004,334,1
2019-06-02,17890.579999999998,252,1
2019-06-03,18854.799999999992,278,1
2019-06-04,19001.46,243,1
2019-06-05,15613.58,231,1
2019-06-06,18421.260000000002,253,1
2019-06-07,19023.879999999997,270,1
2019-06-08,21201.510000000002,311,1
2019-06-09,20616.1,307,1
2019-06-10,13564.7,184,0
2019-06-11,18338.47,253,1
2019-06-12,18032.37,246,1
2019-06-13,15209.75,207,1
2019-06-14,19688.38,292,1
2019-06-15,21059.31,306,1
2019-06-16,17805.29,242,1