date,inside_sales,outside_sales,inside_covers,outside_covers
2017-01-02,13159.84,0.0,173,0
2017-01-03,12442.11,0.0,184,0
2017-01-04,12927.640000000001,0.0,176,0
2017-01-05,14457.789999999999,0.0,190,0
2017-01-06,15331.97,0.0,194,0
2017-01-07,16245.739999999998,0.0,213,0
2017-01-08,14428.09,0.0,189,0
2017-01-09,12604.6,0.0,174,0
2017-01-10,13227.15,0.0,176,0
2017-01-11,15294.74,0.0,203,0
2017-01-12,15518.550000000001,0.0,182,0
2017-01-13,14839.619999999999,0.0,208,0
2017-01-14,17289.53,0.0,225,0
2017-01-15,15491.24,0.0,229,0
2017-01-16,13852.720000000001,0.0,204,0
2017-01-17,11401.96,0.0,138,0
2017-01-18,13072.369999999999,0.0,179,0
2017-01-19,14309.929999999998,0.0,183,0
2017-01-20,16909.2,0.0,209,0
2017-01-21,17803.79,0.0,254,0
2017-01-22,11864.92,0.0,167,0
2017-01-23,13118.67,0.0,164,0
2017-01-24,15002.2,0.0,187,0
2017-01-25,15672.269999999999,0.0,204,0
2017-01-26,13775.48,0.0,148,0
2017-01-27,15530.009999999998,0.0,197,0
2017-01-28,17798.769999999997,0.0,224,0
2017-01-29,13957.47,0.0,198,0
2017-01-30,13181.96,0.0,185,0
2017-01-31,14639.51,0.0,173,0
2017-02-01,14123.7,0.0,202,0
2017-02-02,17747.129999999997,0.0,185,0
2017-02-03,17399.43,0.0,210,0
2017-02-04,17545.95,0.0,218,0
2017-02-05,0.0,0.0,0,0
2017-02-06,12541.529999999999,0.0,168,0
2017-02-07,14185.24,0.0,180,0
2017-02-08,14382.57,0.0,185,0
2017-02-09,13655.02,0.0,196,0
2017-02-10,15970.630000000001,0.0,184,0
2017-02-11,16634.659999999996,0.0,223,0
2017-02-12,14299.8,0.0,199,0
2017-02-13,14230.93,0.0,193,0
2017-02-14,14481.16,0.0,194,0
2017-02-15,15609.009999999998,0.0,200,0
2017-02-16,15115.679999999998,0.0,199,0
2017-02-17,16962.3,0.0,212,0
2017-02-18,15932.199999999997,0.0,213,0
2017-02-19,15567.31,0.0,220,0
2017-02-20,12690.5,0.0,184,0
2017-02-21,13379.98,0.0,189,0
2017-02-22,12914.119999999999,0.0,176,0
2017-02-23,13450.75,0.0,185,0
2017-02-24,14834.670000000002,0.0,219,0
2017-02-25,16599.519999999997,0.0,249,0
2017-02-26,14263.849999999999,0.0,211,0
2017-02-27,13716.86,0.0,171,0
2017-02-28,15136.09,0.0,159,0
2017-03-01,13773.48,0.0,186,0
2017-03-02,15066.19,0.0,185,0
2017-03-03,14819.789999999999,0.0,190,0
2017-03-04,18980.779999999995,0.0,237,0
2017-03-05,14517.5,0.0,225,0
2017-03-06,13041.74,0.0,165,0
2017-03-07,13784.06,0.0,181,0
2017-03-08,14269.45,0.0,191,0
2017-03-09,14775.67,0.0,197,0
2017-03-10,15135.91,0.0,208,0
2017-03-11,18060.54,0.0,213,0
2017-03-12,14304.029999999999,0.0,195,0
2017-03-13,13130.57,0.0,177,0
2017-03-14,0.0,0.0,0,0
2017-03-15,13946.539999999997,0.0,176,0
2017-03-16,14506.04,0.0,191,0
2017-03-17,18270.45,0.0,224,0
2017-03-18,17417.11,0.0,224,0
2017-03-19,15175.57,0.0,202,0
2017-03-20,13641.76,0.0,193,0
2017-03-21,13990.11,0.0,177,0
2017-03-22,13219.240000000002,0.0,183,0
2017-03-23,12274.55,0.0,177,0
2017-03-24,14918.99,0.0,198,0
2017-03-25,17790.2,0.0,236,0
2017-03-26,15494.25,0.0,223,0
2017-03-27,14012.569999999998,0.0,177,0
2017-03-28,13764.82,0.0,197,0
2017-03-29,13511.06,0.0,207,0
2017-03-30,14750.529999999999,0.0,185,0
2017-03-31,14993.56,0.0,200,0
2017-04-01,18240.05,0.0,234,0
2017-04-02,13855.399999999998,0.0,204,0
2017-04-03,14837.15,0.0,187,0
2017-04-04,13197.14,0.0,207,0
2017-04-05,12734.130000000001,26.0,177,2
2017-04-06,13259.94,0.0,200,0
2017-04-07,15871.630000000001,0.0,218,0
2017-04-08,17201.92,0.0,244,0
2017-04-09,13944.970000000001,0.0,213,0
2017-04-10,13294.15,4164.0,181,71
2017-04-11,11246.8,4619.0,179,89
2017-04-12,14836.66,5001.21,194,84
2017-04-13,15669.83,3782.38,205,67
2017-04-14,16497.2,3915.5,213,76
2017-04-15,17041.18,4769.0,227,81
2017-04-16,13162.99,4921.0,212,106
2017-04-17,11764.6,3301.98,165,61
2017-04-18,13129.11,366.5,191,8
2017-04-19,12213.749999999998,0.0,178,0
2017-04-20,13549.070000000002,1669.17,187,30
2017-04-21,15855.95,176.0,203,2
2017-04-22,17513.949999999997,0.0,237,0
2017-04-23,15399.77,2084.5,209,43
2017-04-24,14321.380000000001,0.0,213,0
2017-04-25,15762.3,0.0,184,0
2017-04-26,13659.22,544.0,154,11
2017-04-27,14241.45,1327.5,207,33
2017-04-28,14681.55,7498.0,195,114
2017-04-29,17023.25,7897.22,197,127
2017-04-30,13939.199999999999,84.0,213,2
2017-05-01,11624.23,3760.8900000000003,160,60
2017-05-02,13417.57,5621.549999999999,189,86
2017-05-03,12843.27,2846.0,184,42
2017-05-04,14497.92,334.42,205,14
2017-05-05,15769.130000000001,0.0,214,0
2017-05-06,16751.370000000003,2253.0,230,46
2017-05-07,14938.69,0.0,201,0
2017-05-08,13171.45,1630.0,180,39
2017-05-09,14515.84,104.0,186,3
2017-05-10,13333.11,3194.5,176,53
2017-05-11,16600.78,2098.0,194,36
2017-05-12,16186.369999999999,2761.0,204,54
2017-05-13,16634.989999999998,0.0,223,0
2017-05-14,14104.57,3714.0,213,56
2017-05-15,14619.050000000001,4898.0,159,81
2017-05-16,13584.74,6678.13,192,103
2017-05-17,12554.89,5574.61,178,100
2017-05-18,14528.9,5349.3,197,84
2017-05-19,14493.43,5773.48,200,105
2017-05-20,18713.629999999997,4784.84,232,102
2017-05-21,13555.5,4690.5,195,91
2017-05-22,14307.2,0.0,191,0
2017-05-23,13687.529999999999,4048.5,175,79
2017-05-24,13219.46,4360.84,185,77
2017-05-25,15073.34,0.0,184,0
2017-05-26,15073.999999999998,6612.48,213,100
2017-05-27,15183.880000000001,6186.17,226,102
2017-05-28,16041.19,5743.5,205,101
2017-05-29,12522.7,1563.5,180,26
2017-05-30,13781.119999999999,184.5,195,3
2017-05-31,14624.48,4208.5,183,80
2017-06-01,12063.400000000001,5377.5,183,86
2017-06-02,15566.880000000001,7445.91,190,137
2017-06-03,16106.63,7925.0,206,128
2017-06-04,14567.5,0.0,210,0
2017-06-05,12927.539999999999,1090.5,180,27
2017-06-06,15728.74,0.0,194,0
2017-06-07,14807.97,4945.0,180,88
2017-06-08,14142.99,3195.08,174,51
2017-06-09,14799.02,7802.0,199,115
2017-06-10,15207.24,7747.0,201,125
2017-06-11,12895.079999999998,5303.13,195,102
2017-06-12,13012.01,4566.5,177,93
2017-06-13,12198.81,3807.5,177,70
2017-06-14,13244.11,5336.88,182,77
2017-06-15,15192.26,5314.97,186,91
2017-06-16,15727.78,5047.0,207,90
2017-06-17,16829.43,4976.67,218,102
2017-06-18,13134.390000000001,5022.49,200,96
2017-06-19,13991.77,0.0,172,0
2017-06-20,12398.23,6477.63,175,102
2017-06-21,13197.29,5956.950000000001,183,99
2017-06-22,13939.559999999998,6081.8,180,111
2017-06-23,16353.36,0.0,217,5
2017-06-24,16211.179999999998,7313.21,210,115
2017-06-25,12659.490000000002,5744.55,182,106
2017-06-26,12941.88,4954.0,180,80
2017-06-27,12553.619999999999,5261.18,167,107
2017-06-28,15526.919999999998,5581.46,167,92
2017-06-29,12673.130000000001,5672.0,168,106
2017-06-30,15662.149999999998,4779.01,207,77
2017-07-01,15957.69,5348.0,228,85
2017-07-02,14588.539999999999,7725.39,226,129
2017-07-03,14509.19,7319.55,200,115
2017-07-04,11978.960000000001,5884.69,177,107
2017-07-05,11827.669999999998,5477.5,153,112
2017-07-06,12197.88,4487.5,165,81
2017-07-07,15878.84,2830.5,210,68
2017-07-08,15991.75,7466.0,204,132
2017-07-09,13829.5,6024.5,192,106
2017-07-10,12842.449999999999,4061.02,186,77
2017-07-11,12741.23,4409.38,174,75
2017-07-12,14399.470000000001,947.5,196,30
2017-07-13,13686.990000000002,0.0,192,0
2017-07-14,15037.84,0.0,206,0
2017-07-15,15675.67,6790.5,206,105
2017-07-16,13457.31,5966.5,204,109
2017-07-17,13317.17,3647.21,194,79
2017-07-18,12022.86,6442.48,160,85
2017-07-19,12747.39,4887.84,167,91
2017-07-20,14222.98,2395.0,174,40
2017-07-21,14705.17,6266.0,217,99
2017-07-22,18243.54,1014.0,227,27
2017-07-23,17013.199999999997,5016.0,211,93
2017-07-24,13543.94,1046.5,168,26
2017-07-25,13297.26,5033.5,166,82
2017-07-26,14047.67,5519.5,173,87
2017-07-27,14598.439999999999,4008.96,187,72
2017-07-28,14663.24,5702.5,195,100
2017-07-29,15562.11,7189.0,236,130
2017-07-30,13614.36,7344.88,188,122
2017-07-31,13067.24,4781.13,181,77
2017-08-01,11004.36,4611.5,164,85
2017-08-02,13404.86,2856.0,174,42
2017-08-03,15063.759999999998,4461.5,187,87
2017-08-04,14477.75,7325.98,195,119
2017-08-05,16061.959999999997,7801.26,219,135
2017-08-06,13366.839999999998,7201.0,192,117
2017-08-07,14308.249999999998,0.0,187,0
2017-08-08,12335.28,5132.21,162,99
2017-08-09,13570.7,5854.5,193,101
2017-08-10,13985.32,6498.17,195,95
2017-08-11,15111.630000000001,5541.0,202,93
2017-08-12,15923.2,5654.0,203,94
2017-08-13,14686.77,6330.69,207,113
2017-08-14,12545.42,5191.67,172,86
2017-08-15,11992.970000000001,4222.0,161,74
2017-08-16,12639.890000000001,5863.0,162,96
2017-08-17,12026.109999999999,6088.0,168,103
2017-08-18,16542.829999999998,860.0,203,25
2017-08-19,14475.310000000001,8107.13,209,132
2017-08-20,12300.07,4823.5,190,97
2017-08-21,11535.220000000001,5494.5,171,94
2017-08-22,12102.289999999999,4393.5,169,76
2017-08-23,13163.74,5672.0,190,104
2017-08-24,12845.74,5641.0,183,94
2017-08-25,13149.34,7395.0,188,110
2017-08-26,13359.34,6897.41,206,115
2017-08-27,13484.0,6730.07,184,126
2017-08-28,14718.64,4780.5,193,72
2017-08-29,13213.19,0.0,184,0
2017-08-30,14429.14,4848.0,192,101
2017-08-31,12712.380000000001,6251.0,175,102
2017-09-01,15084.56,5818.0,211,110
2017-09-02,16146.439999999999,0.0,223,9
2017-09-03,15226.269999999999,7114.9400000000005,213,129
2017-09-04,13684.25,5409.63,191,98
2017-09-05,11958.470000000001,3372.5,192,60
2017-09-06,19011.01,0.0,190,0
2017-09-07,12200.46,4932.5,181,90
2017-09-08,14816.19,5928.5,202,97
2017-09-09,17040.54,8129.5,192,117
2017-09-10,13594.009999999998,6244.98,196,107
2017-09-11,11879.239999999998,4611.0,168,82
2017-09-12,13365.39,5930.0,158,99
2017-09-13,13017.939999999999,4684.0,177,71
2017-09-14,14029.470000000001,4819.5,176,83
2017-09-15,16592.760000000002,7299.0,193,123
2017-09-16,15538.67,6985.3,218,117
2017-09-17,12164.32,6410.13,182,107
2017-09-18,13568.5,2561.94,201,49
2017-09-19,13213.17,0.0,185,0
2017-09-20,13463.0,4414.5,169,78
2017-09-21,12122.5,5421.0,171,81
2017-09-22,16806.97,7043.0,182,121
2017-09-23,14781.02,8088.17,195,128
2017-09-24,15292.979999999998,5812.09,208,89
2017-09-25,12402.47,4219.5,168,74
2017-09-26,11746.39,3276.5,173,54
2017-09-27,13053.71,4626.25,157,77
2017-09-28,13579.759999999998,3453.34,178,75
2017-09-29,15094.87,6752.63,195,106
2017-09-30,17188.44,4214.0,223,69
2017-10-01,13615.99,5314.0,188,100
2017-10-02,12110.05,3094.5,180,58
2017-10-03,14212.16,3270.0,199,60
2017-10-04,11686.51,5014.0,177,83
2017-10-05,16526.109999999997,3306.5,191,65
2017-10-06,14574.51,7504.65,194,104
2017-10-07,13430.319999999998,7511.0,194,122
2017-10-08,14986.730000000001,4556.5,197,86
2017-10-09,11963.9,0.0,181,0
2017-10-10,16150.46,4707.5,161,88
2017-10-11,16262.21,0.0,182,4
2017-10-12,14665.869999999999,2548.5,175,28
2017-10-13,14984.36,6096.0,208,108
2017-10-14,15717.400000000001,6352.5,198,106
2017-10-15,14638.729999999998,4322.0,185,78
2017-10-16,14182.99,0.0,184,0
2017-10-17,12756.3,0.0,174,0
2017-10-18,13725.51,3579.12,186,56
2017-10-19,14178.88,4282.17,176,65
2017-10-20,14863.48,5901.98,176,85
2017-10-21,16583.739999999994,7211.98,205,113
2017-10-22,14256.47,5181.610000000001,173,89
2017-10-23,15603.8,3548.0,190,67
2017-10-24,13815.609999999999,0.0,190,0
2017-10-25,14156.55,2688.13,190,47
2017-10-26,18560.79,0.0,197,0
2017-10-27,15526.58,3365.0,188,52
2017-10-28,16796.1,6863.5,200,101
2017-10-29,14239.55,0.0,194,0
2017-10-30,13725.509999999998,0.0,175,0
2017-10-31,13040.32,0.0,193,0
2017-11-01,17678.12,0.0,181,0
2017-11-02,13972.699999999999,2471.5,185,54
2017-11-03,16277.0,5194.5,194,94
2017-11-04,17404.57,0.0,219,0
2017-11-05,15577.17,0.0,203,0
2017-11-06,14282.800000000001,0.0,180,0
2017-11-07,12763.13,0.0,168,0
2017-11-08,15251.01,0.0,187,0
2017-11-09,16385.379999999997,0.0,193,0
2017-11-10,17368.440000000002,0.0,200,0
2017-11-11,15800.3,0.0,198,0
2017-11-12,14902.359999999999,0.0,200,0
2017-11-13,12977.0,0.0,166,0
2017-11-14,13953.13,0.0,165,0
2017-11-15,15811.91,0.0,194,0
2017-11-16,16681.98,0.0,194,0
2017-11-17,16040.229999999998,0.0,188,0
2017-11-18,19629.019999999997,0.0,233,0
2017-11-19,15032.039999999999,0.0,212,0
2017-11-20,14128.5,0.0,176,0
2017-11-21,15569.8,0.0,195,0
2017-11-22,16224.55,0.0,194,0
2017-11-23,0.0,0.0,0,0
2017-11-24,13427.240000000002,0.0,187,0
2017-11-25,14833.24,0.0,211,0
2017-11-26,13432.36,0.0,193,0
2017-11-27,12881.51,0.0,183,0
2017-11-28,14999.48,0.0,141,0
2017-11-29,15724.67,0.0,177,0
2017-11-30,12896.5,0.0,175,0
2017-12-01,15511.27,0.0,180,0
2017-12-02,18556.11,0.0,224,0
2017-12-03,15865.48,0.0,206,0
2017-12-04,19433.48,0.0,181,0
2017-12-05,14639.21,0.0,157,0
2017-12-06,14597.31,0.0,178,0
2017-12-07,20422.05,0.0,172,0
2017-12-08,17726.059999999998,0.0,221,0
2017-12-09,15744.279999999999,0.0,211,0
2017-12-10,14365.0,0.0,190,0
2017-12-11,12052.75,0.0,175,0
2017-12-12,14517.97,0.0,178,0
2017-12-13,15496.48,0.0,180,0
2017-12-14,14323.890000000001,0.0,183,0
2017-12-15,17763.8,0.0,203,0
2017-12-16,15935.17,0.0,202,0
2017-12-17,16267.0,0.0,219,0
2017-12-18,14395.6,0.0,172,0
2017-12-19,16609.84,0.0,204,2
2017-12-20,17182.139999999996,0.0,186,0
2017-12-21,17355.11,0.0,203,0
2017-12-22,18221.14,0.0,160,0
2017-12-23,15586.86,0.0,206,0
2017-12-24,0.0,0.0,0,0
2017-12-25,0.0,0.0,0,0
2017-12-26,14696.17,0.0,204,0
2017-12-27,13799.65,0.0,192,0
2017-12-28,16099.48,0.0,209,0
2017-12-29,15889.64,0.0,222,0
2017-12-30,14915.91,0.0,203,2
2017-12-31,16199.589999999997,0.0,205,0
2018-01-01,381.0,0.0,0,0
2018-01-02,11591.75,0.0,169,2
2018-01-03,12052.11,0.0,159,2
2018-01-04,12296.98,0.0,174,0
2018-01-05,15831.14,0.0,182,0
2018-01-06,17706.94,0.0,209,0
2018-01-07,12013.589999999998,0.0,182,0
2018-01-08,10950.130000000001,0.0,161,0
2018-01-09,13713.210000000001,0.0,188,0
2018-01-10,13153.220000000001,0.0,184,0
2018-01-11,13591.3,0.0,175,0
2018-01-12,15769.51,0.0,218,0
2018-01-13,15649.11,0.0,217,0
2018-01-14,14887.05,0.0,193,0
2018-01-15,14474.18,0.0,184,0
2018-01-16,12975.52,0.0,178,0
2018-01-17,13090.01,0.0,181,0
2018-01-18,12896.48,0.0,157,0
2018-01-19,14100.47,0.0,193,0
2018-01-20,16153.189999999999,0.0,213,0
2018-01-21,13986.0,0.0,191,0
2018-01-22,13145.0,0.0,179,0
2018-01-23,13383.92,0.0,177,4
2018-01-24,14668.75,0.0,191,0
2018-01-25,14697.44,0.0,189,0
2018-01-26,15793.57,0.0,198,0
2018-01-27,18097.83,0.0,216,0
2018-01-28,15762.859999999999,0.0,220,0
2018-01-29,13543.61,0.0,179,0
2018-01-30,12223.45,0.0,162,0
2018-01-31,14233.5,0.0,177,0
2018-02-01,15137.0,0.0,169,0
2018-02-02,16261.74,0.0,182,0
2018-02-03,17275.07,0.0,214,0
2018-02-04,0.0,0.0,0,0
2018-02-05,13081.65,0.0,171,0
2018-02-06,12446.82,0.0,157,0
2018-02-07,11371.75,0.0,141,0
2018-02-08,16081.5,0.0,183,0
2018-02-09,18509.32,0.0,219,0
2018-02-10,16519.23,0.0,207,0
2018-02-11,15937.24,0.0,202,0
2018-02-12,16637.839999999997,0.0,195,0
2018-02-13,13032.24,0.0,189,0
2018-02-14,15317.94,0.0,185,0
2018-02-15,14609.26,0.0,198,0
2018-02-16,15764.829999999998,0.0,193,0
2018-02-17,15503.48,0.0,213,0
2018-02-18,17442.629999999997,0.0,225,0
2018-02-19,13704.0,0.0,183,0
2018-02-20,12742.07,0.0,162,0
2018-02-21,13869.01,0.0,185,0
2018-02-22,15877.63,0.0,179,0
2018-02-23,13772.15,0.0,178,0
2018-02-24,21976.760000000002,0.0,210,0
2018-02-25,13971.81,0.0,196,0
2018-02-26,17876.87,0.0,167,0
2018-02-27,14237.64,0.0,170,0
2018-02-28,12150.939999999999,0.0,162,0
2018-03-01,13980.8,0.0,180,0
2018-03-02,15440.15,0.0,184,0
2018-03-03,18356.160000000003,0.0,221,0
2018-03-04,14259.57,0.0,187,0
2018-03-05,13305.0,0.0,169,0
2018-03-06,12088.94,0.0,160,0
2018-03-07,13685.18,0.0,166,0
2018-03-08,14277.66,0.0,163,0
2018-03-09,18137.11,0.0,196,0
2018-03-10,19734.19,0.0,211,0
2018-03-11,14177.67,0.0,200,0
